Province,Intervention,Date
Gauteng,Schools + Universities,19.03.2020
Gauteng,Public events,16.03.2020
Gauteng,Lockdown,28.03.2020
Gauteng,Social distancing encouraged,16.03.2020
Gauteng,Self-isolating if ill,16.03.2020
KwaZulu-Natal,Schools + Universities,17.03.2020
KwaZulu-Natal,Public events,15.03.2020
KwaZulu-Natal,Lockdown,26.03.2020
KwaZulu-Natal,Social distancing encouraged,14.03.2020
KwaZulu-Natal,Self-isolating if ill,14.03.2020
Limpopo,Schools + Universities,21.03.2020
Limpopo,Public events,17.03.2020
Limpopo,Lockdown,29.03.2020
Limpopo,Social distancing encouraged,17.03.2020
Limpopo,Self-isolating if ill,17.03.2020
Mpumalanga,Schools + Universities,19.03.2020
Mpumalanga,Public events,16.03.2020
Mpumalanga,Lockdown,28.03.2020
Mpumalanga,Social distancing encouraged,16.03.2020
Mpumalanga,Self-isolating if ill,16.03.2020
North West,Schools + Universities,19.03.2020
North West,Public events,16.03.2020
North West,Lockdown,28.03.2020
North West,Social distancing encouraged,16.03.2020
North West,Self-isolating if ill,16.03.2020
Northern Cape,Schools + Universities,19.03.2020
Northern Cape,Public events,16.03.2020
Northern Cape,Lockdown,28.03.2020
Northern Cape,Social distancing encouraged,16.03.2020
Northern Cape,Self-isolating if ill,16.03.2020
Western Cape,Schools + Universities,19.03.2020
Western Cape,Public events,16.03.2020
Western Cape,Lockdown,28.03.2020
Western Cape,Social distancing encouraged,16.03.2020
Western Cape,Self-isolating if ill,16.03.2020
Eastern Cape,Schools + Universities,19.03.2020
Eastern Cape,Public events,16.03.2020
Eastern Cape,Lockdown,28.03.2020
Eastern Cape,Social distancing encouraged,16.03.2020
Eastern Cape,Self-isolating if ill,16.03.2020
Free State,Schools + Universities,19.03.2020
Free State,Public events,16.03.2020
Free State,Lockdown,28.03.2020
Free State,Social distancing encouraged,16.03.2020
Free State,Self-isolating if ill,16.03.2020
