Country;Type;Date effective
Gauteng;Schools + Universities;19.03.2020
Gauteng;Public events;16.03.2020
Gauteng;Lockdown;28.03.2020
Gauteng;Social distancing encouraged;16.03.2020
Gauteng;Self-isolating if ill;16.03.2020
KwaZulu-Natal;Schools + Universities;17.03.2020
KwaZulu-Natal;Public events;15.03.2020
KwaZulu-Natal;Lockdown;26.03.2020
KwaZulu-Natal;Social distancing encouraged;14.03.2020
KwaZulu-Natal;Self-isolating if ill;14.03.2020
Limpopo;Schools + Universities;21.03.2020
Limpopo;Public events;17.03.2020
Limpopo;Lockdown;29.03.2020
Limpopo;Social distancing encouraged;17.03.2020
Limpopo;Self-isolating if ill;17.03.2020
Mpumalanga;Schools + Universities;19.03.2020
Mpumalanga;Public events;16.03.2020
Mpumalanga;Lockdown;28.03.2020
Mpumalanga;Social distancing encouraged;16.03.2020
Mpumalanga;Self-isolating if ill;16.03.2020
North_West;Schools + Universities;19.03.2020
North_West;Public events;16.03.2020
North_West;Lockdown;28.03.2020
North_West;Social distancing encouraged;16.03.2020
North_West;Self-isolating if ill;16.03.2020
Northern_Cape;Schools + Universities;19.03.2020
Northern_Cape;Public events;16.03.2020
Northern_Cape;Lockdown;28.03.2020
Northern_Cape;Social distancing encouraged;16.03.2020
Northern_Cape;Self-isolating if ill;16.03.2020
Western_Cape;Schools + Universities;19.03.2020
Western_Cape;Public events;16.03.2020
Western_Cape;Lockdown;28.03.2020
Western_Cape;Social distancing encouraged;16.03.2020
Western_Cape;Self-isolating if ill;16.03.2020
Eastern_Cape;Schools + Universities;19.03.2020
Eastern_Cape;Public events;16.03.2020
Eastern_Cape;Lockdown;28.03.2020
Eastern_Cape;Social distancing encouraged;16.03.2020
Eastern_Cape;Self-isolating if ill;16.03.2020
Free_State;Schools + Universities;19.03.2020
Free_State;Public events;16.03.2020
Free_State;Lockdown;28.03.2020
Free_State;Social distancing encouraged;16.03.2020
Free_State;Self-isolating if ill;16.03.2020
